Name;Type;Function;Level; Price; Previous Fortune; Wave Number; Time;
DoubleCanon;Tower(Clone);Create;Lvl0;80;180;-1;6;946374
Food;Factory(Clone);Create;Lvl0;50;100;-1;15;5438
Mortar;Tower(Clone);Create;Lvl0;80;86;1;63;31764
Food;Factory(Clone);Upgrade;1;75;78;2;117;3682
ChewingGum;Factory(Clone);Create;Lvl0;50;57;2;151;1799
DoubleCanon;Tower(Clone);Create;Lvl0;100;126;3;208;7494
DoubleCanon;Tower(Clone);Upgrade;1;120;179;4;255;2279
Mortar;Tower(Clone);Upgrade;1;120;263;5;306;589
DoubleCanon;Tower(Clone);Upgrade;1;120;143;5;309;3988
Mortar;Tower(Clone);Create;Lvl0;100;133;6;343;589
Mortar;Tower(Clone)(Clone);Upgrade;2;180;197;6;367;5807
Food;Factory(Clone);Upgrade;2;115;118;7;382;2694
DoubleCanon;Tower(Clone)(Clone);Upgrade;2;180;259;7;413;5924
;;;;;;;;
;;;;Total Fortune Value;;;;
;;;;1370;;;;
