Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,3393,665
Food_Factory(Clone)_Create_Lvl0,50,100,-1,3399,222
DoubleCanon_Tower(Clone)_Create_Lvl0,80,86,0,3429,016
Food_Factory(Clone)_Create_Lvl0,50,51,1,3465,792
ChewingGum_Factory(Clone)_Create_Lvl0,50,111,2,3514,625
DoubleCanon_Tower(Clone)_Create_Lvl0,100,106,2,3525,332
Sniper_Tower(Clone)_Upgrade_S_01_up,120,123,3,3569,172
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,120,4,3604,144
DoubleCanon_Tower(Clone)_Create_Lvl0,120,121,5,3644,42
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,156,5,3671,488
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,182,6,3712,304
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,193,6,3732,295
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,130,6,3740,82
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,156,7,3767,773
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,182,7,3792,19
