Wave; Begin Fortune; EndFortune; Begin Life; End Life; Enemies in wave; Enemies Quantity; Tower Datas
0;180;65;100;100;;;
;180;65;100;100;;;
;180;65;100;100;;;
;180;65;100;100; ; ;S_01_up
;180;65;100;100; ; ;Dc_01_up
1;65;60;100;96;;;
;65;60;100;96;VegetableBasic;9;
;65;60;100;96; ; ;S_01_up
;65;60;100;96; ; ;Dc_01_up
;65;60;100;96; ; ;F_01_up
2;60;41;96;95;;;
;60;41;96;95;VegetableBasic;18;
;60;41;96;95;VegetableSupport;1;
;60;41;96;95; ; ;S_02_up
;60;41;96;95; ; ;Dc_01_up
;60;41;96;95; ; ;F_01_up
3;41;72;95;95;;;
;41;72;95;95;VegetableBasic;26;
;41;72;95;95;VegetableSupport;1;
;41;72;95;95;InsectBasic;2;
;41;72;95;95; ; ;S_02_up
;41;72;95;95; ; ;Dc_01_up
;41;72;95;95; ; ;F_01_up
;41;72;95;95; ; ;C_01_up
4;72;36;95;93;;;
;72;36;95;93;VegetableBasic;34;
;72;36;95;93;VegetableSupport;2;
;72;36;95;93;InsectBasic;8;
;72;36;95;93; ; ;S_02_up
;72;36;95;93; ; ;Dc_02_up
;72;36;95;93; ; ;M_01_up
;72;36;95;93; ; ;F_01_up
;72;36;95;93; ; ;C_01_up
5;36;181;93;93;;;
;36;181;93;93;VegetableBasic;43;
;36;181;93;93;VegetableSupport;4;
;36;181;93;93;InsectBasic;14;
;36;181;93;93; ; ;S_02_up
;36;181;93;93; ; ;Dc_02_up
;36;181;93;93; ; ;M_01_up
;36;181;93;93; ; ;F_01_up
;36;181;93;93; ; ;C_01_up
;36;181;93;93; ; ;E_01_up
6;181;182;93;93;;;
;181;182;93;93;VegetableBasic;63;
;181;182;93;93;VegetableSupport;6;
;181;182;93;93;InsectBasic;19;
;181;182;93;93; ; ;S_02_up
;181;182;93;93; ; ;Dc_02_up
;181;182;93;93; ; ;M_02_up
;181;182;93;93; ; ;F_01_up
;181;182;93;93; ; ;C_01_up
;181;182;93;93; ; ;E_01_up
7;182;191;93;93;;;
;182;191;93;93;VegetableBasic;86;
;182;191;93;93;VegetableSupport;8;
;182;191;93;93;InsectBasic;32;
;182;191;93;93;InsectSupport;2;
;182;191;93;93; ; ;S_02_up
;182;191;93;93; ; ;Dc_02_up
;182;191;93;93; ; ;M_02_up
;182;191;93;93; ; ;S_01_up
;182;191;93;93; ; ;F_01_up
;182;191;93;93; ; ;C_01_up
;182;191;93;93; ; ;E_01_up
